Time	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03
0.766667	13276	12709	14512	13591	14906	15028	21375	21903	22412	27397	30736	28131	30984	32109	31372	25384	24124	28879	30092	28236	22258	31756	30551	31474	35423	35850	35633	30615	30507	31352	27112	25771	25127	28198	25295	25722	24840	34530	35006	34307	33900	36401	30874	31299	31624	23491	26832	27413	29612	31035	29304	32649	32719	32976	36757	37111	37048	30454	30653	29424	32558	33859	34887
0.783333	13344	12870	14676	14106	15253	15527	21864	22585	23032	27702	32092	28661	31716	32661	31757	26344	24702	29689	31084	29344	22877	32154	30835	31692	35981	36058	35876	31049	30273	31178	28298	26971	26168	28832	25863	26528	24536	35520	35750	35226	34219	37255	30818	31579	31865	24037	27615	28822	30159	31756	30070	33314	33612	33828	37708	37936	38813	30528	31328	29230	32158	33441	34702
0.800000	13492	13056	14996	14343	15481	15786	22705	23037	23132	29194	32480	29563	32164	33467	32100	27073	25627	30603	31724	30947	23260	32774	31596	32127	35808	36075	36132	30609	30117	30355	28613	27806	26609	30034	26868	26984	24301	36365	36526	35592	34852	36947	30408	31298	31776	24552	28137	29329	30712	32094	30905	34540	33772	33936	37778	38781	39117	30426	30753	29135	32216	33324	34850
0.816667	13859	13301	15244	14716	16079	16048	23275	23844	23827	29318	32548	30188	32653	33461	32728	28032	26383	31255	32568	31598	24286	33215	32625	32027	36095	36386	36842	30619	29655	30699	29784	28344	27687	30529	27872	27459	24767	35945	36952	36119	34915	37760	30815	31396	31589	25447	29241	30781	31605	32957	31529	35272	34540	34568	38487	38568	39311	30244	30484	29015	32389	33352	34672
0.833333	14149	13476	15628	15128	16213	15974	23544	24319	24642	30138	33798	30800	33300	34309	33400	29216	27398	32617	33549	32103	24642	33572	33277	33016	35772	36357	36701	30696	30261	31056	30474	28994	28164	31832	28088	27551	24738	36814	37399	37416	35092	37602	30476	31446	31457	25803	29560	30960	32305	33314	32456	35098	35537	35156	38915	39420	40216	30320	30928	29366	31989	33264	34651
0.850000	14500	13701	16025	15299	16917	16955	23902	24928	25065	30683	34479	31026	33632	34358	33936	29553	27768	33347	33496	32620	25488	34300	33633	33082	36307	36763	37073	30294	30124	30806	31889	29936	29252	32085	29050	27988	24541	37138	38061	37248	35725	37980	30876	31649	31196	26390	30772	31684	32987	34420	33209	35973	35532	35997	38968	39732	40156	30425	30412	28948	32191	33102	34524
0.866667	14781	13953	16180	15580	17017	17024	24961	25653	25396	31377	35408	31949	34259	34785	34355	30234	29048	33711	34416	33560	26089	34109	33878	33568	36136	37107	37200	29924	29922	30851	32847	30195	30052	33241	29698	28321	24906	37823	38262	37733	35277	37816	30480	31031	31220	27210	31653	32666	33608	34528	33910	36441	36248	36079	38872	39616	40776	30476	30449	28576	31957	32886	34560
0.883333	14818	14047	16616	16121	17567	17348	25620	26331	26244	31866	36304	32691	34728	34634	34533	31404	29989	34872	35457	34229	26681	34481	34265	33495	36025	37048	37311	30443	29888	30425	33715	31312	30714	34169	30237	28141	24730	37699	38136	38438	35680	38373	30440	31424	31272	27834	32310	33923	33337	35154	34307	36733	36232	36640	39401	39753	40329	30264	30473	28737	31636	33128	34566
0.900000	15100	14213	17084	16098	17351	17981	25832	26741	26824	32520	36233	33345	35112	35480	34780	32328	30298	35550	35404	35063	27406	34215	34806	34236	35752	36860	37238	30165	29348	30528	33629	31695	31742	34697	31069	28336	24505	38216	39013	39080	35584	38604	30276	31180	31196	28449	32535	34659	33715	35484	34680	37236	37010	36861	39567	40174	41163	29993	30711	28732	32029	32433	34110
0.916667	15051	14744	17270	16535	18252	17784	26408	27241	27328	32985	37100	33720	35744	35814	35134	32958	31836	36079	36247	34937	27788	34940	34717	34308	36389	36915	37712	30302	29603	30526	34845	32587	32783	35505	32284	28374	24734	38050	39122	39195	35769	38740	30127	30572	30920	29219	33084	35476	33960	35972	35026	37280	37260	37416	39303	39910	40992	30068	30445	28874	31908	32730	34541
