Time	B02	B04	B06	C02	C04	C06
2.990000	1849	438	11699	1850	491	8925
2.996389	1845	435	11816	1854	500	8924
3.002778	1826	437	11862	1851	502	8971
3.009167	1842	443	11862	1868	502	9001
3.015556	1830	431	11883	1871	487	9002
3.021944	1844	443	11881	1873	497	9089
3.028333	1841	442	11961	1868	496	9143
3.034722	1856	442	11979	1888	499	9156
3.041111	1864	440	12114	1886	495	9192
3.047500	1854	431	12123	1886	494	9219
3.053889	1857	443	12109	1885	493	9249
3.060278	1871	441	12137	1882	497	9295
3.066667	1853	431	12136	1879	489	9361
3.073056	1874	433	12264	1884	493	9443
3.079444	1857	431	12317	1897	490	9433
3.085833	1863	437	12341	1889	496	9447
3.092222	1868	433	12368	1894	481	9507
3.098611	1878	437	12374	1903	493	9504
3.105000	1874	441	12417	1909	503	9586
3.111389	1883	436	12458	1919	492	9608
3.117778	1899	436	12487	1919	493	9685
3.124167	1910	440	12579	1898	493	9697
3.130556	1869	432	12572	1908	497	9718
3.136944	1885	436	12573	1908	500	9775
3.143333	1885	431	12640	1915	502	9765
3.149722	1887	441	12642	1913	492	9819
3.156111	1899	433	12710	1932	487	9901
3.162500	1901	442	12755	1929	492	9945
3.168889	1900	435	12795	1935	490	9955
3.175278	1899	427	12753	1913	496	10032
3.181667	1905	433	12818	1920	498	10046
3.188056	1904	439	12917	1916	492	10054
3.194444	1906	429	12950	1929	496	10087
3.200833	1913	435	12975	1915	499	10112
3.207222	1915	437	13020	1945	494	10204
3.213611	1927	442	13074	1942	495	10224
3.220000	1926	432	13069	1939	494	10279
3.226389	1919	431	13113	1939	482	10341
3.232778	1921	443	13146	1943	488	10398
3.239167	1909	443	13139	1944	493	10415
3.245556	1911	431	13182	1952	500	10465
3.251944	1921	441	13207	1949	501	10498
3.258333	1939	430	13250	1953	490	10541
3.264722	1923	441	13304	1960	483	10624
3.271111	1948	437	13324	1962	482	10666
3.277500	1944	435	13317	1970	499	10705
3.283889	1944	440	13365	1973	483	10738
3.290278	1947	437	13399	1962	490	10723
3.296667	1932	433	13558	1967	485	10769
3.303056	1972	432	13555	1977	491	10798
3.309444	1949	439	13572	1982	492	10918
3.315833	1934	443	13635	1959	498	10961
3.322222	1947	439	13739	1975	493	10954
3.328611	1960	436	13701	1989	489	11033
3.335000	1966	433	13759	1984	489	11051
3.341389	1957	442	13818	2007	486	11095
3.347778	1957	443	13873	2004	497	11207
3.354167	1955	435	13921	1995	488	11165
3.360556	1951	439	13919	1989	488	11244
3.366944	1953	435	13918	1990	487	11273
3.373333	1968	438	14001	2001	500	11343
3.379722	1985	436	13990	2007	488	11363
3.386111	1965	439	14034	1979	497	11370
3.392500	1974	433	14051	2004	491	11411
3.398889	1982	439	14086	2005	485	11465
3.405278	1983	436	14121	2011	493	11532
3.411667	1998	440	14214	2019	492	11604
3.418056	2006	436	14240	1997	488	11661
